site,treatment,date,year,month,variable,value
n2,fert,1990-06-12T00:00:00Z,1990,6,chl_ug_l,10.52
n2,fert,1990-06-12T00:00:00Z,1990,6,cond_u_s,102
n2,fert,1990-06-12T00:00:00Z,1990,6,do_mg_l,10.623333333333333
n2,fert,1990-06-12T00:00:00Z,1990,6,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,temp_c,7.383333333333333
n2,fert,1990-06-21T00:00:00Z,1990,6,chl_ug_l,8.875
n2,fert,1990-06-21T00:00:00Z,1990,6,cond_u_s,110
n2,fert,1990-06-21T00:00:00Z,1990,6,do_mg_l,10
n2,fert,1990-06-21T00:00:00Z,1990,6,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,temp_c,11.773333333333333
n2,fert,1990-06-28T00:00:00Z,1990,6,chl_ug_l,3.755
n2,fert,1990-06-28T00:00:00Z,1990,6,cond_u_s,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,do_mg_l,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,secchi_m,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,temp_c,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,chl_ug_l,9.615
n2,fert,1990-07-05T00:00:00Z,1990,7,cond_u_s,124.03333333333333
n2,fert,1990-07-05T00:00:00Z,1990,7,do_mg_l,9.29
n2,fert,1990-07-05T00:00:00Z,1990,7,secchi_m,NA
n2,fert,1990-07-05T00:00:00Z,1990,7,temp_c,17.703333333333333
n2,fert,1990-07-12T00:00:00Z,1990,7,chl_ug_l,12.695
n2,fert,1990-07-12T00:00:00Z,1990,7,cond_u_s,120.46666666666667
n2,fert,1990-07-12T00:00:00Z,1990,7,do_mg_l,10.096666666666668
n2,fert,1990-07-12T00:00:00Z,1990,7,secchi_m,3.5
n2,fert,1990-07-12T00:00:00Z,1990,7,temp_c,16
n2,fert,1990-07-19T00:00:00Z,1990,7,chl_ug_l,11.08
n2,fert,1990-07-19T00:00:00Z,1990,7,cond_u_s,119.33333333333333
n2,fert,1990-07-19T00:00:00Z,1990,7,do_mg_l,9.059999999999999
n2,fert,1990-07-19T00:00:00Z,1990,7,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,temp_c,14.706666666666667
n2,fert,1990-07-26T00:00:00Z,1990,7,chl_ug_l,30.88
n2,fert,1990-07-26T00:00:00Z,1990,7,cond_u_s,120
n2,fert,1990-07-26T00:00:00Z,1990,7,do_mg_l,11.043333333333333
n2,fert,1990-07-26T00:00:00Z,1990,7,secchi_m,1.8
n2,fert,1990-07-26T00:00:00Z,1990,7,temp_c,14.483333333333334
n2,fert,1990-08-02T00:00:00Z,1990,8,chl_ug_l,33.525000000000006
n2,fert,1990-08-02T00:00:00Z,1990,8,cond_u_s,118.33333333333333
n2,fert,1990-08-02T00:00:00Z,1990,8,do_mg_l,11.4
n2,fert,1990-08-02T00:00:00Z,1990,8,secchi_m,1.2
n2,fert,1990-08-02T00:00:00Z,1990,8,temp_c,14.783333333333333
n2,fert,1990-08-10T00:00:00Z,1990,8,chl_ug_l,20.64
n2,fert,1990-08-10T00:00:00Z,1990,8,cond_u_s,158.1
n2,fert,1990-08-10T00:00:00Z,1990,8,do_mg_l,10.336666666666666
n2,fert,1990-08-10T00:00:00Z,1990,8,secchi_m,1.85
n2,fert,1990-08-10T00:00:00Z,1990,8,temp_c,13.216666666666667
n2,fert,1991-06-10T00:00:00Z,1991,6,chl_ug_l,3.5549999999999997
n2,fert,1991-06-10T00:00:00Z,1991,6,cond_u_s,64.2
n2,fert,1991-06-10T00:00:00Z,1991,6,do_mg_l,12.008333333333333
n2,fert,1991-06-10T00:00:00Z,1991,6,secchi_m,NA
n2,fert,1991-06-10T00:00:00Z,1991,6,temp_c,3.714166666666667
n2,fert,1991-06-27T00:00:00Z,1991,6,chl_ug_l,4.395
n2,fert,1991-06-27T00:00:00Z,1991,6,cond_u_s,182.66666666666666
n2,fert,1991-06-27T00:00:00Z,1991,6,do_mg_l,9.8533333333333335
n2,fert,1991-06-27T00:00:00Z,1991,6,secchi_m,2.9
n2,fert,1991-06-27T00:00:00Z,1991,6,temp_c,14.916666666666666
n2,fert,1991-07-06T00:00:00Z,1991,7,chl_ug_l,4.484999999999999
n2,fert,1991-07-06T00:00:00Z,1991,7,cond_u_s,101.46666666666667
n2,fert,1991-07-06T00:00:00Z,1991,7,do_mg_l,10.8
n2,fert,1991-07-06T00:00:00Z,1991,7,secchi_m,4.8
n2,fert,1991-07-06T00:00:00Z,1991,7,temp_c,14.52
n2,fert,1991-07-11T00:00:00Z,1991,7,chl_ug_l,5.165
n2,fert,1991-07-11T00:00:00Z,1991,7,cond_u_s,87.93333333333334
n2,fert,1991-07-11T00:00:00Z,1991,7,do_mg_l,9.63
n2,fert,1991-07-11T00:00:00Z,1991,7,secchi_m,4.3
n2,fert,1991-07-11T00:00:00Z,1991,7,temp_c,12.061666666666667
n2,fert,1991-07-18T00:00:00Z,1991,7,chl_ug_l,5.6850000000000005
n2,fert,1991-07-18T00:00:00Z,1991,7,cond_u_s,205.66666666666666
n2,fert,1991-07-18T00:00:00Z,1991,7,do_mg_l,10.246666666666666
n2,fert,1991-07-18T00:00:00Z,1991,7,secchi_m,4.2
n2,fert,1991-07-18T00:00:00Z,1991,7,temp_c,13
n2,fert,1991-07-25T00:00:00Z,1991,7,chl_ug_l,5.199999999999999
n2,fert,1991-07-25T00:00:00Z,1991,7,cond_u_s,99
n2,fert,1991-07-25T00:00:00Z,1991,7,do_mg_l,13.6
n2,fert,1991-07-25T00:00:00Z,1991,7,secchi_m,3.4
n2,fert,1991-07-25T00:00:00Z,1991,7,temp_c,12.92
n2,fert,1991-08-01T00:00:00Z,1991,8,chl_ug_l,4.640000000000001
n2,fert,1991-08-01T00:00:00Z,1991,8,cond_u_s,72
n2,fert,1991-08-01T00:00:00Z,1991,8,do_mg_l,10.5
n2,fert,1991-08-01T00:00:00Z,1991,8,secchi_m,3.3
n2,fert,1991-08-01T00:00:00Z,1991,8,temp_c,13.34
n2,fert,1991-08-08T00:00:00Z,1991,8,chl_ug_l,6.17
n2,fert,1991-08-08T00:00:00Z,1991,8,cond_u_s,87.1
n2,fert,1991-08-08T00:00:00Z,1991,8,do_mg_l,11.246666666666666
n2,fert,1991-08-08T00:00:00Z,1991,8,secchi_m,3
n2,fert,1991-08-08T00:00:00Z,1991,8,temp_c,11
