site,tow_type,depth_m,date,d_midd,d_long,bosmina,holo,heter,d_prib,c_scutt,p_ped,year
N2 Fert,vt,6,1985-07-08,0,13.11,2.17,NA,0,NA,4.81,15.85,1985
N2 Fert,vt,6,1985-07-08,0,0.86,0.19,NA,0,NA,5.71,15.98,1985
N2 Cont,vt,6,1985-07-08,0.07,3.31,4.33,NA,0,NA,7.3,17.44,1985
N2 Cont,vt,6,1985-07-08,0,2.36,1.89,NA,0,NA,5.66,14.14,1985
N2 Fert,vt,6,1985-07-11,0,6.22,2.04,NA,0,NA,1.13,23.6,1985
N2 Fert,vt,6,1985-07-11,0,6.38,0.74,NA,0,NA,4.66,31.15,1985
N2 Cont,vt,6,1985-07-11,0,1.41,0.55,NA,0,NA,3.95,14.43,1985
N2 Cont,vt,6,1985-07-11,0,0.99,0.55,NA,0,NA,7.1,11.88,1985
N2 Fert,vt,6,1985-07-18,0,6.59,0.26,NA,0,NA,7.64,20.75,1985
N2 Fert,vt,6,1985-07-18,0,10.7,0.2,NA,0,NA,3.53,13.7,1985
N2 Cont,vt,6,1985-07-18,0,3.32,0.41,NA,0,NA,1.22,7.85,1985
N2 Cont,vt,6,1985-07-18,0,6.57,2,NA,0,NA,2.51,12.76,1985
N2 Fert,vt,6,1985-07-25,0,5.48,1.07,NA,0,NA,3.81,11.42,1985
N2 Fert,vt,6,1985-07-25,0,7.62,1.49,NA,0,NA,1.41,17.45,1985
N2 Cont,vt,6,1985-07-25,0,5.31,1.16,NA,0,NA,1.85,9.94,1985
N2 Cont,vt,6,1985-07-25,0,11.48,3.95,NA,0,NA,1.1,8.99,1985
N2 Fert,vt,6,1985-08-01,0,34.77,2.38,NA,0,NA,6.09,11.75,1985
N2 Fert,vt,6,1985-08-01,0,29.14,1.08,NA,0,NA,6.72,14.53,1985
N2 Cont,vt,6,1985-08-01,0,14.69,0.52,NA,0,NA,0.77,17.01,1985
N2 Cont,vt,6,1985-08-01,0,13.34,1.11,NA,0,NA,1.19,32.86,1985
N2 Fert,vt,6,1985-08-08,0,17.01,6.12,NA,0,NA,2.51,12.57,1985
N2 Fert,vt,6,1985-08-08,0,16.6,6.36,NA,0,NA,2.91,12.66,1985
N2 Cont,vt,6,1985-08-08,0,16.62,4.46,NA,0,NA,1.7,5.94,1985
N2 Cont,vt,6,1985-08-08,0,14.39,3.8,NA,0,NA,1.03,5.6,1985
N2 Cont,vt,6.5,1986-07-04,0,0.52,0.13,NA,0,NA,1.55,12.91,1986
N2 Fert,vt,7,1986-07-04,0,1.07,0.68,NA,0,NA,5.82,13.88,1986
N2 Fert,vt,7,1986-07-04,0,1.86,0.41,NA,0,NA,5.88,10.72,1986
N2 Cont,vt,7,1986-07-04,0,0.22,0,NA,0,NA,1.05,8.79,1986
N2 Cont,vt,6,1986-07-10,0,0.38,0,NA,0,NA,2.34,9.58,1986
N2 Cont,vt,6,1986-07-10,0,0.84,0,NA,0,NA,3.46,14.49,1986
N2 Fert,vt,7,1986-07-10,0,1.8,0.64,NA,0,NA,6.05,11.71,1986
N2 Fert,vt,7,1986-07-10,0,2.36,0.47,NA,0,NA,7.43,17.44,1986
N2 Fert,vt,6,1986-07-17,0,6.57,1.64,NA,0.01,NA,10.35,7.89,1986
N2 Fert,vt,6,1986-07-17,0,7.72,1.09,NA,0,NA,6.04,6.84,1986
N2 Cont,vt,6,1986-07-17,0,4.46,0.44,NA,0,NA,1.53,8.34,1986
N2 Cont,vt,6,1986-07-17,0,3.98,0.54,NA,0,NA,2.53,4.97,1986
N2 Fert,vt,6,1986-07-24,0,12.22,0.36,NA,0,NA,8.47,7.26,1986
N2 Fert,vt,6,1986-07-24,0,8.03,0.47,NA,0,NA,5.12,7.21,1986
N2 Cont,vt,6,1986-07-24,0,2.69,1.26,NA,0,NA,3.7,6.65,1986
N2 Cont,vt,6,1986-07-24,0,3.39,2.93,NA,0,NA,3.7,9.32,1986
N2 Fert,vt,6,1986-07-31,0,10.51,3.93,NA,0,NA,5.9,7.86,1986
N2 Fert,vt,6,1986-07-31,0,9.65,4.36,NA,0,NA,4.45,8.72,1986
N2 Cont,vt,6,1986-07-31,0,3.74,1.64,NA,0,NA,1.91,5.83,1986
N2 Cont,vt,6,1986-07-31,0,6.4,0.43,NA,0,NA,2.16,5.88,1986
N2 Fert,vt,6,1986-08-07,0,17.65,9.13,NA,0,NA,7.53,4.44,1986
N2 Fert,vt,6,1986-08-07,0,17.57,5.64,NA,0,NA,9.65,8.46,1986
N2 Cont,vt,6,1986-08-07,0,9.89,1.55,NA,0,NA,2.37,6.46,1986
N2 Cont,vt,6,1986-08-07,0,5.82,0.82,NA,0,NA,1.74,5.72,1986
N2 Fert,vt,6,1986-08-14,0,21.39,7.7,NA,0,NA,6.9,2.93,1986
N2 Fert,vt,6,1986-08-14,0,19.77,6.75,NA,0,NA,7.33,2.09,1986
N2 Cont,vt,6,1986-08-14,0,13.57,2.54,NA,0,NA,1.35,6.43,1986
N2 Cont,vt,6,1986-08-14,0,8.32,1.88,NA,0,NA,1.09,7.53,1986
N2 Fert,vt,6,1987-07-01,0,3.3,0,NA,0,NA,13.56,10.26,1987
N2 Fert,vt,6,1987-07-01,0,3.96,0.11,NA,0,NA,16.75,10.53,1987
N2 Cont,vt,6,1987-07-01,0,0.34,0.23,NA,0,NA,8.61,8.61,1987
N2 Cont,vt,6,1987-07-01,0,0.8,0.13,NA,0,NA,6.81,10.56,1987
N2 Fert,vt,6,1987-07-07,0,1.62,0.1,NA,0,NA,11.56,5.37,1987
N2 Fert,vt,6,1987-07-07,0,0.59,0,NA,0,NA,10.2,5.35,1987
N2 Cont,vt,6,1987-07-07,0,1.16,0.18,NA,0,NA,5.11,6.27,1987
N2 Cont,vt,6,1987-07-07,0,2.09,0.31,NA,0,NA,5.33,5.96,1987
N2 Fert,vt,6,1987-07-14,0,8.85,0,NA,0,NA,9.77,12.02,1987
N2 Fert,vt,6,1987-07-14,0,8.53,0,NA,0,NA,9.77,6.47,1987
N2 Cont,vt,6,1987-07-14,0,4.72,0,NA,0,NA,5.03,7.86,1987
N2 Cont,vt,6,1987-07-14,0,3.3,0.09,NA,0,NA,5.85,8.02,1987
N2 Fert,vt,6,1987-07-19,0,14.27,0,NA,0,NA,6.44,8.11,1987
N2 Fert,vt,6,1987-07-19,0,18.47,0.14,NA,0,NA,7.83,9.51,1987
N2 Cont,vt,6,1987-07-19,0,5.67,0,NA,0,NA,7.47,10.65,1987
N2 Cont,vt,6,1987-07-19,0,6.69,0,NA,0,NA,8.66,9.71,1987
N2 Fert,vt,6,1987-07-28,0,4.07,2.75,NA,0,NA,8.36,6.27,1987
N2 Fert,vt,6,1987-07-28,0,13.59,7,NA,0,NA,8.96,4.43,1987
N2 Cont,vt,6,1987-07-28,0,6.83,0.2,NA,0,NA,2.28,5.45,1987
N2 Cont,vt,6,1987-07-28,0,8.28,0.2,NA,0,NA,3.19,7.29,1987
N2 Fert,vt,6,1987-08-04,0,8.66,1.47,NA,0,NA,9.89,4.41,1987
N2 Fert,vt,6,1987-08-04,0,7.17,0,NA,0,NA,9.47,4.04,1987
N2 Cont,vt,6,1987-08-04,0,5.99,0,NA,0,NA,1.67,5.01,1987
N2 Cont,vt,6,1987-08-04,0,8.21,0.18,NA,0,NA,2,5.47,1987
N2 Fert,vt,6,1987-08-11,0,25.44,4.81,NA,0,NA,9.4,3.1,1987
N2 Fert,vt,6,1987-08-11,0,22.31,2.13,NA,0,NA,9.13,1.82,1987
N2 Cont,vt,6,1987-08-11,0,16.59,0.48,NA,0,NA,2.3,1.63,1987
N2 Cont,vt,6,1987-08-11,0,20.59,1.03,NA,0,NA,1.95,3.39,1987
N2 Cont,vt,6,1988-06-20,0,0.471,0.118,NA,0,NA,1.297,6.836,1988
N2 Cont,vt,6,1988-06-20,0,0.819,0,NA,0,NA,1.147,13.435,1988
N2 Fert,vt,6,1988-06-20,0,1.984,0,NA,0,NA,3.734,8.518,1988
N2 Fert,vt,6,1988-06-20,0,2.5,0,NA,0,NA,4.881,5.476,1988
N2 Cont,vt,6,1988-06-28,0,4.043,0.578,NA,0,NA,5.545,9.587,1988
N2 Cont,vt,6,1988-06-28,0,8.487,0.53,NA,0,NA,6.954,9.665,1988
N2 Fert,vt,6,1988-06-28,0,8.345,0.07,NA,0,NA,9.458,10.153,1988
N2 Fert,vt,6,1988-06-28,0,11.522,0,NA,0,NA,13.69,9.217,1988
N2 Cont,vt,6,1988-07-05,0,4.413,0.276,NA,0,NA,6.206,3.723,1988
N2 Cont,vt,6,1988-07-05,0,3.095,0.357,NA,0,NA,5.357,5.952,1988
N2 Fert,vt,6,1988-07-05,0,3.168,0.283,NA,0,NA,12.221,7.355,1988
N2 Fert,vt,6,1988-07-05,0,8.039,0.324,NA,0,NA,18.541,9.984,1988
N2 Cont,vt,6,1988-07-12,0,10.012,0.161,NA,0,NA,5.49,11.465,1988
N2 Cont,vt,6,1988-07-12,0,9.491,0.156,NA,0,NA,2.956,9.024,1988
N2 Fert,vt,6,1988-07-12,0,5.949,0,NA,0,NA,11.533,9.105,1988
N2 Fert,vt,6,1988-07-12,0,5.127,0.177,NA,0,NA,10.608,9.371,1988
N2 Cont,vt,6,1988-07-19,0,4.668,0.583,NA,0,NA,4.019,7.39,1988
N2 Cont,vt,6,1988-07-19,0,8.067,0.487,NA,0,NA,5.424,7.093,1988
N2 Fert,vt,6,1988-07-19,0,34.745,1.202,NA,0,NA,21.641,7.694,1988
N2 Fert,vt,6,1988-07-19,0,25,0.595,NA,0,NA,19.405,6.31,1988
N2 Cont,vt,6,1988-07-27,0,2.31,0.264,NA,0,NA,2.838,3.432,1988
N2 Cont,vt,6,1988-07-27,0,2.881,0.153,NA,0,NA,2.452,4.413,1988
N2 Fert,vt,6,1988-07-27,0,23,1.073,NA,0,NA,10.726,4.785,1988
N2 Fert,vt,6,1988-07-27,0,27.198,0.502,NA,0,NA,10.796,4.603,1988
N2 Cont,vt,6,1988-08-02,0,0.262,7.072,NA,0,NA,0.064,0.134,1988
N2 Cont,vt,6,1988-08-02,0,6.677,0.421,NA,0,NA,2.269,4.862,1988
N2 Fert,vt,6,1988-08-02,0,10.583,2.323,NA,0,NA,9.809,2.667,1988
N2 Fert,vt,6,1988-08-02,0,16.537,2.588,NA,0,NA,10.713,3.02,1988
N2 Cont,vt,6,1988-08-10,0.002,9.048,1.905,NA,0,NA,2.143,1.786,1988
N2 Cont,vt,6,1988-08-10,0,9.316,0.985,NA,0.005,NA,2.24,2.777,1988
N2 Fert,vt,6,1988-08-10,0,15.464,3.479,NA,0,NA,5.123,2.996,1988
N2 Fert,vt,6,1988-08-10,0,13.918,3.055,NA,0,NA,5.318,1.584,1988
N2 Cont,vt,5,1989-06-29,0,1.863,0.155,0,0,0,28.877,0,1989
N2 Cont,vt,5,1989-06-29,0,1.114,0,0,0,0,16.991,0,1989
N2 Fert,vt,5,1989-06-29,0,2.63,0.164,0,0,0,16.521,0,1989
N2 Fert,vt,5,1989-06-29,0,2.877,0.128,0,0,0,21.543,0,1989
N2 Cont,vt,5,1989-07-06,0.003,0.526,0.526,0,0.003,6.663,11.923,0,1989
N2 Cont,vt,5,1989-07-06,0,0.808,0.323,0,0.003,5.819,12.285,0,1989
N2 Fert,vt,5,1989-07-06,0.022,2.778,0.214,0,0.008,9.973,29.847,0,1989
N2 Fert,vt,5,1989-07-06,0,1.101,0,0,0.003,5.874,18.448,0,1989
N2 Cont,vt,5,1989-07-13,0,4.159,0.567,0,0,7.184,13.233,0,1989
N2 Cont,vt,5,1989-07-13,0,5.2,1,0,0,7.2,8.6,0,1989
N2 Fert,vt,5,1989-07-13,0,21.107,0.493,0,0.003,16.175,18.049,0,1989
N2 Fert,vt,5,1989-07-13,0,15.649,0.767,0,0.003,15.803,20.099,0,1989
N2 Cont,vt,5,1989-07-19,0,5.408,0.644,0,0.003,4.507,9.658,0,1989
N2 Fert,vt,5,1989-07-19,0,11.315,2.748,0,0,6.627,9.537,0,1989
N2 Cont,vt,5,1989-07-27,0,14.86,2.63,0,0,6.444,3.551,0.263,1989
N2 Cont,vt,5,1989-07-27,0,8.877,0.658,0,0,5.918,8,0,1989
N2 Fert,vt,5,1989-07-27,0,8.942,6.614,0,0,5.403,4.099,0,1989
N2 Fert,vt,5,1989-07-27,0,20.345,14.679,0,0,7.468,6.438,0.773,1989
N2 Cont,vt,5,1989-08-03,0,5.184,0.353,0,0.003,4.359,3.888,0,1989
N2 Cont,vt,5,1989-08-03,0,8.942,0,0,0,4.997,8.548,0,1989
N2 Fert,vt,5,1989-08-03,0,15.781,0.395,0,0,6.51,2.367,0,1989
N2 Fert,vt,5,1989-08-03,0,13.255,1.293,0,0,5.658,2.91,0,1989
N2 Fert,Vt,6,1990-06-30,0,6.329,0.678,0,0,NA,9.267,37.295,1990
