site,treatment,date,year,month,depth_m,variable,value
n2,fert,1990-06-12T00:00:00Z,1990,6,0,temp_c,8
n2,fert,1990-06-12T00:00:00Z,1990,6,0,cond_u_s,103
n2,fert,1990-06-12T00:00:00Z,1990,6,0,do_mg_l,10.5
n2,fert,1990-06-12T00:00:00Z,1990,6,0,chl_ug_l,6.94
n2,fert,1990-06-12T00:00:00Z,1990,6,0,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,0.1,temp_c,8
n2,fert,1990-06-12T00:00:00Z,1990,6,0.1,cond_u_s,103
n2,fert,1990-06-12T00:00:00Z,1990,6,0.1,do_mg_l,10.53
n2,fert,1990-06-12T00:00:00Z,1990,6,0.1,chl_ug_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,0.1,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,0.2,temp_c,7.6
n2,fert,1990-06-12T00:00:00Z,1990,6,0.2,cond_u_s,102
n2,fert,1990-06-12T00:00:00Z,1990,6,0.2,do_mg_l,10.56
n2,fert,1990-06-12T00:00:00Z,1990,6,0.2,chl_ug_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,0.2,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,0.5,temp_c,7.3
n2,fert,1990-06-12T00:00:00Z,1990,6,0.5,cond_u_s,102
n2,fert,1990-06-12T00:00:00Z,1990,6,0.5,do_mg_l,10.65
n2,fert,1990-06-12T00:00:00Z,1990,6,0.5,chl_ug_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,0.5,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,1,temp_c,7
n2,fert,1990-06-12T00:00:00Z,1990,6,1,cond_u_s,102
n2,fert,1990-06-12T00:00:00Z,1990,6,1,do_mg_l,10.8
n2,fert,1990-06-12T00:00:00Z,1990,6,1,chl_ug_l,14.1
n2,fert,1990-06-12T00:00:00Z,1990,6,1,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,2,temp_c,6.4
n2,fert,1990-06-12T00:00:00Z,1990,6,2,cond_u_s,100
n2,fert,1990-06-12T00:00:00Z,1990,6,2,do_mg_l,10.7
n2,fert,1990-06-12T00:00:00Z,1990,6,2,chl_ug_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,2,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,3,temp_c,5.1
n2,fert,1990-06-12T00:00:00Z,1990,6,3,cond_u_s,99
n2,fert,1990-06-12T00:00:00Z,1990,6,3,do_mg_l,10.6
n2,fert,1990-06-12T00:00:00Z,1990,6,3,chl_ug_l,9.48
n2,fert,1990-06-12T00:00:00Z,1990,6,3,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,4,temp_c,4.7
n2,fert,1990-06-12T00:00:00Z,1990,6,4,cond_u_s,98
n2,fert,1990-06-12T00:00:00Z,1990,6,4,do_mg_l,10.4
n2,fert,1990-06-12T00:00:00Z,1990,6,4,chl_ug_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,4,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,5,temp_c,4
n2,fert,1990-06-12T00:00:00Z,1990,6,5,cond_u_s,97
n2,fert,1990-06-12T00:00:00Z,1990,6,5,do_mg_l,10.1
n2,fert,1990-06-12T00:00:00Z,1990,6,5,chl_ug_l,7.88
n2,fert,1990-06-12T00:00:00Z,1990,6,5,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,6,temp_c,3.3
n2,fert,1990-06-12T00:00:00Z,1990,6,6,cond_u_s,97
n2,fert,1990-06-12T00:00:00Z,1990,6,6,do_mg_l,9.5
n2,fert,1990-06-12T00:00:00Z,1990,6,6,chl_ug_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,6,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,7,temp_c,3.2
n2,fert,1990-06-12T00:00:00Z,1990,6,7,cond_u_s,102
n2,fert,1990-06-12T00:00:00Z,1990,6,7,do_mg_l,7.9
n2,fert,1990-06-12T00:00:00Z,1990,6,7,chl_ug_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,7,secchi_m,3.4
n2,fert,1990-06-12T00:00:00Z,1990,6,8,temp_c,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,8,cond_u_s,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,8,do_mg_l,NA
n2,fert,1990-06-12T00:00:00Z,1990,6,8,chl_ug_l,7.71
n2,fert,1990-06-12T00:00:00Z,1990,6,8,secchi_m,3.4
n2,fert,1990-06-21T00:00:00Z,1990,6,0,temp_c,11.9
n2,fert,1990-06-21T00:00:00Z,1990,6,0,cond_u_s,110
n2,fert,1990-06-21T00:00:00Z,1990,6,0,do_mg_l,10
n2,fert,1990-06-21T00:00:00Z,1990,6,0,chl_ug_l,9.85
n2,fert,1990-06-21T00:00:00Z,1990,6,0,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,0.1,temp_c,11.88
n2,fert,1990-06-21T00:00:00Z,1990,6,0.1,cond_u_s,110
n2,fert,1990-06-21T00:00:00Z,1990,6,0.1,do_mg_l,10
n2,fert,1990-06-21T00:00:00Z,1990,6,0.1,chl_ug_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,0.1,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,0.2,temp_c,11.86
n2,fert,1990-06-21T00:00:00Z,1990,6,0.2,cond_u_s,110
n2,fert,1990-06-21T00:00:00Z,1990,6,0.2,do_mg_l,10
n2,fert,1990-06-21T00:00:00Z,1990,6,0.2,chl_ug_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,0.2,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,0.5,temp_c,11.8
n2,fert,1990-06-21T00:00:00Z,1990,6,0.5,cond_u_s,110
n2,fert,1990-06-21T00:00:00Z,1990,6,0.5,do_mg_l,10
n2,fert,1990-06-21T00:00:00Z,1990,6,0.5,chl_ug_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,0.5,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,1,temp_c,11.7
n2,fert,1990-06-21T00:00:00Z,1990,6,1,cond_u_s,110
n2,fert,1990-06-21T00:00:00Z,1990,6,1,do_mg_l,10
n2,fert,1990-06-21T00:00:00Z,1990,6,1,chl_ug_l,7.9
n2,fert,1990-06-21T00:00:00Z,1990,6,1,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,2,temp_c,11.5
n2,fert,1990-06-21T00:00:00Z,1990,6,2,cond_u_s,110
n2,fert,1990-06-21T00:00:00Z,1990,6,2,do_mg_l,10
n2,fert,1990-06-21T00:00:00Z,1990,6,2,chl_ug_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,2,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,3,temp_c,7.5
n2,fert,1990-06-21T00:00:00Z,1990,6,3,cond_u_s,105
n2,fert,1990-06-21T00:00:00Z,1990,6,3,do_mg_l,11.2
n2,fert,1990-06-21T00:00:00Z,1990,6,3,chl_ug_l,7.27
n2,fert,1990-06-21T00:00:00Z,1990,6,3,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,4,temp_c,6.1
n2,fert,1990-06-21T00:00:00Z,1990,6,4,cond_u_s,99
n2,fert,1990-06-21T00:00:00Z,1990,6,4,do_mg_l,11
n2,fert,1990-06-21T00:00:00Z,1990,6,4,chl_ug_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,4,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,5,temp_c,5.2
n2,fert,1990-06-21T00:00:00Z,1990,6,5,cond_u_s,99
n2,fert,1990-06-21T00:00:00Z,1990,6,5,do_mg_l,9.9
n2,fert,1990-06-21T00:00:00Z,1990,6,5,chl_ug_l,14.02
n2,fert,1990-06-21T00:00:00Z,1990,6,5,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,6,temp_c,4.9
n2,fert,1990-06-21T00:00:00Z,1990,6,6,cond_u_s,99
n2,fert,1990-06-21T00:00:00Z,1990,6,6,do_mg_l,9.8
n2,fert,1990-06-21T00:00:00Z,1990,6,6,chl_ug_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,6,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,7,temp_c,4
n2,fert,1990-06-21T00:00:00Z,1990,6,7,cond_u_s,103
n2,fert,1990-06-21T00:00:00Z,1990,6,7,do_mg_l,6.2
n2,fert,1990-06-21T00:00:00Z,1990,6,7,chl_ug_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,7,secchi_m,3
n2,fert,1990-06-21T00:00:00Z,1990,6,8,temp_c,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,8,cond_u_s,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,8,do_mg_l,NA
n2,fert,1990-06-21T00:00:00Z,1990,6,8,chl_ug_l,11.81
n2,fert,1990-06-21T00:00:00Z,1990,6,8,secchi_m,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,0,temp_c,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,0,cond_u_s,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,0,do_mg_l,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,0,chl_ug_l,3.03
n2,fert,1990-06-28T00:00:00Z,1990,6,0,secchi_m,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,1,temp_c,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,1,cond_u_s,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,1,do_mg_l,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,1,chl_ug_l,4.48
n2,fert,1990-06-28T00:00:00Z,1990,6,1,secchi_m,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,3,temp_c,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,3,cond_u_s,NA
n2,fert,1990-06-28T00:00:00Z,1990,6,3,do_mg_l,NA
