site,date,year,month,depth_m,variable,value
toolik,1990-06-19T00:00:00Z,1990,6,0,temp_c,4.25
toolik,1990-06-19T00:00:00Z,1990,6,0,cond_u_s,30
toolik,1990-06-19T00:00:00Z,1990,6,0,do_mg_l,11.3
toolik,1990-06-19T00:00:00Z,1990,6,0,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,0,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,0.1,temp_c,4.25
toolik,1990-06-19T00:00:00Z,1990,6,0.1,cond_u_s,30.2
toolik,1990-06-19T00:00:00Z,1990,6,0.1,do_mg_l,11.3
toolik,1990-06-19T00:00:00Z,1990,6,0.1,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,0.1,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,0.2,temp_c,4.25
toolik,1990-06-19T00:00:00Z,1990,6,0.2,cond_u_s,30.4
toolik,1990-06-19T00:00:00Z,1990,6,0.2,do_mg_l,11.3
toolik,1990-06-19T00:00:00Z,1990,6,0.2,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,0.2,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,0.5,temp_c,4.25
toolik,1990-06-19T00:00:00Z,1990,6,0.5,cond_u_s,31
toolik,1990-06-19T00:00:00Z,1990,6,0.5,do_mg_l,11.3
toolik,1990-06-19T00:00:00Z,1990,6,0.5,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,0.5,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,1,temp_c,4.25
toolik,1990-06-19T00:00:00Z,1990,6,1,cond_u_s,32
toolik,1990-06-19T00:00:00Z,1990,6,1,do_mg_l,11.3
toolik,1990-06-19T00:00:00Z,1990,6,1,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,1,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,2,temp_c,4.2
toolik,1990-06-19T00:00:00Z,1990,6,2,cond_u_s,32
toolik,1990-06-19T00:00:00Z,1990,6,2,do_mg_l,11.4
toolik,1990-06-19T00:00:00Z,1990,6,2,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,2,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,3,temp_c,4.15
toolik,1990-06-19T00:00:00Z,1990,6,3,cond_u_s,32
toolik,1990-06-19T00:00:00Z,1990,6,3,do_mg_l,11.39
toolik,1990-06-19T00:00:00Z,1990,6,3,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,3,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,4,temp_c,3.9499999999999997
toolik,1990-06-19T00:00:00Z,1990,6,4,cond_u_s,34
toolik,1990-06-19T00:00:00Z,1990,6,4,do_mg_l,11.3
toolik,1990-06-19T00:00:00Z,1990,6,4,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,4,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,5,temp_c,4.05
toolik,1990-06-19T00:00:00Z,1990,6,5,cond_u_s,34
toolik,1990-06-19T00:00:00Z,1990,6,5,do_mg_l,11.2
toolik,1990-06-19T00:00:00Z,1990,6,5,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,5,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,6,temp_c,3.9000000000000004
toolik,1990-06-19T00:00:00Z,1990,6,6,cond_u_s,35
toolik,1990-06-19T00:00:00Z,1990,6,6,do_mg_l,11.2
toolik,1990-06-19T00:00:00Z,1990,6,6,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,6,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,7,temp_c,3.85
toolik,1990-06-19T00:00:00Z,1990,6,7,cond_u_s,36
toolik,1990-06-19T00:00:00Z,1990,6,7,do_mg_l,11.19
toolik,1990-06-19T00:00:00Z,1990,6,7,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,7,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,8,temp_c,3.8499999999999996
toolik,1990-06-19T00:00:00Z,1990,6,8,cond_u_s,38
