site,date,year,month,variable,value
toolik,1990-06-19T00:00:00Z,1990,6,chl_ug_l,NA
toolik,1990-06-19T00:00:00Z,1990,6,cond_u_s,30.933333333333334
toolik,1990-06-19T00:00:00Z,1990,6,do_mg_l,11.316666666666666
toolik,1990-06-19T00:00:00Z,1990,6,secchi_m,4
toolik,1990-06-19T00:00:00Z,1990,6,temp_c,4.241666666666667
toolik,1990-06-26T00:00:00Z,1990,6,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,cond_u_s,40.06666666666666
toolik,1990-06-26T00:00:00Z,1990,6,do_mg_l,10.506666666666668
toolik,1990-06-26T00:00:00Z,1990,6,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,temp_c,9.01
toolik,1990-07-03T00:00:00Z,1990,7,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,cond_u_s,47.63333333333333
toolik,1990-07-03T00:00:00Z,1990,7,do_mg_l,9.700000000000001
toolik,1990-07-03T00:00:00Z,1990,7,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,temp_c,13.923333333333334
toolik,1990-07-10T00:00:00Z,1990,7,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,cond_u_s,40.63333333333333
toolik,1990-07-10T00:00:00Z,1990,7,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,temp_c,14.468333333333334
toolik,1990-07-17T00:00:00Z,1990,7,chl_ug_l,NA
toolik,1990-07-17T00:00:00Z,1990,7,cond_u_s,56.3
toolik,1990-07-17T00:00:00Z,1990,7,do_mg_l,12.536666666666667
toolik,1990-07-17T00:00:00Z,1990,7,secchi_m,5.5
toolik,1990-07-17T00:00:00Z,1990,7,temp_c,13.441666666666666
toolik,1990-07-24T00:00:00Z,1990,7,chl_ug_l,NA
toolik,1990-07-24T00:00:00Z,1990,7,cond_u_s,48
toolik,1990-07-24T00:00:00Z,1990,7,do_mg_l,9.013333333333334
toolik,1990-07-24T00:00:00Z,1990,7,secchi_m,6
toolik,1990-07-24T00:00:00Z,1990,7,temp_c,15.558333333333334
toolik,1990-07-31T00:00:00Z,1990,7,chl_ug_l,NA
toolik,1990-07-31T00:00:00Z,1990,7,cond_u_s,105.33333333333333
toolik,1990-07-31T00:00:00Z,1990,7,do_mg_l,12.293333333333333
toolik,1990-07-31T00:00:00Z,1990,7,secchi_m,8.1
toolik,1990-07-31T00:00:00Z,1990,7,temp_c,13.215
toolik,1990-08-07T00:00:00Z,1990,8,chl_ug_l,NA
toolik,1990-08-07T00:00:00Z,1990,8,cond_u_s,39.166666666666664
toolik,1990-08-07T00:00:00Z,1990,8,do_mg_l,8.083333333333332
toolik,1990-08-07T00:00:00Z,1990,8,secchi_m,5.4
toolik,1990-08-07T00:00:00Z,1990,8,temp_c,12.883333333333333
toolik,1991-06-18T00:00:00Z,1991,6,chl_ug_l,3.33521
toolik,1991-06-18T00:00:00Z,1991,6,cond_u_s,NA
toolik,1991-06-18T00:00:00Z,1991,6,do_mg_l,NA
toolik,1991-06-18T00:00:00Z,1991,6,secchi_m,NA
toolik,1991-06-18T00:00:00Z,1991,6,temp_c,NA
toolik,1991-06-25T00:00:00Z,1991,6,chl_ug_l,1.9602849999999998
toolik,1991-06-25T00:00:00Z,1991,6,cond_u_s,37.333333333333336
toolik,1991-06-25T00:00:00Z,1991,6,do_mg_l,9.86
toolik,1991-06-25T00:00:00Z,1991,6,secchi_m,4.3
toolik,1991-06-25T00:00:00Z,1991,6,temp_c,10.341666666666667
