site,depth_m,date,year,species,number
N2 Cont,6,1985-07-08,1985,bosmina,3.11
N2 Cont,6,1985-07-08,1985,c_scutt,6.48
N2 Cont,6,1985-07-08,1985,d_long,2.835
N2 Cont,6,1985-07-08,1985,d_midd,0.035
N2 Cont,6,1985-07-08,1985,d_prib,NA
N2 Cont,6,1985-07-08,1985,heter,0
N2 Cont,6,1985-07-08,1985,holo,NA
N2 Cont,6,1985-07-08,1985,p_ped,15.790000000000001
N2 Cont,6,1985-07-11,1985,bosmina,0.55
N2 Cont,6,1985-07-11,1985,c_scutt,5.525
N2 Cont,6,1985-07-11,1985,d_long,1.2
N2 Cont,6,1985-07-11,1985,d_midd,0
N2 Cont,6,1985-07-11,1985,d_prib,NA
N2 Cont,6,1985-07-11,1985,heter,0
N2 Cont,6,1985-07-11,1985,holo,NA
N2 Cont,6,1985-07-11,1985,p_ped,13.155000000000001
N2 Cont,6,1985-07-18,1985,bosmina,1.205
N2 Cont,6,1985-07-18,1985,c_scutt,1.8649999999999998
N2 Cont,6,1985-07-18,1985,d_long,4.945
N2 Cont,6,1985-07-18,1985,d_midd,0
N2 Cont,6,1985-07-18,1985,d_prib,NA
N2 Cont,6,1985-07-18,1985,heter,0
N2 Cont,6,1985-07-18,1985,holo,NA
N2 Cont,6,1985-07-18,1985,p_ped,10.305
N2 Cont,6,1985-07-25,1985,bosmina,2.555
N2 Cont,6,1985-07-25,1985,c_scutt,1.475
N2 Cont,6,1985-07-25,1985,d_long,8.395
N2 Cont,6,1985-07-25,1985,d_midd,0
N2 Cont,6,1985-07-25,1985,d_prib,NA
N2 Cont,6,1985-07-25,1985,heter,0
N2 Cont,6,1985-07-25,1985,holo,NA
N2 Cont,6,1985-07-25,1985,p_ped,9.465
N2 Cont,6,1985-08-01,1985,bosmina,0.8150000000000001
N2 Cont,6,1985-08-01,1985,c_scutt,0.98
N2 Cont,6,1985-08-01,1985,d_long,14.015
N2 Cont,6,1985-08-01,1985,d_midd,0
N2 Cont,6,1985-08-01,1985,d_prib,NA
N2 Cont,6,1985-08-01,1985,heter,0
N2 Cont,6,1985-08-01,1985,holo,NA
N2 Cont,6,1985-08-01,1985,p_ped,24.935000000000002
N2 Cont,6,1985-08-08,1985,bosmina,4.13
N2 Cont,6,1985-08-08,1985,c_scutt,1.365
N2 Cont,6,1985-08-08,1985,d_long,15.505
N2 Cont,6,1985-08-08,1985,d_midd,0
N2 Cont,6,1985-08-08,1985,d_prib,NA
N2 Cont,6,1985-08-08,1985,heter,0
N2 Cont,6,1985-08-08,1985,holo,NA
N2 Cont,6,1985-08-08,1985,p_ped,5.77
N2 Fert,6,1985-07-08,1985,bosmina,1.18
N2 Fert,6,1985-07-08,1985,c_scutt,5.26
N2 Fert,6,1985-07-08,1985,d_long,6.984999999999999
N2 Fert,6,1985-07-08,1985,d_midd,0
N2 Fert,6,1985-07-08,1985,d_prib,NA
N2 Fert,6,1985-07-08,1985,heter,0
N2 Fert,6,1985-07-08,1985,holo,NA
N2 Fert,6,1985-07-08,1985,p_ped,15.915
N2 Fert,6,1985-07-11,1985,bosmina,1.3900000000000001
N2 Fert,6,1985-07-11,1985,c_scutt,2.895
N2 Fert,6,1985-07-11,1985,d_long,6.3
N2 Fert,6,1985-07-11,1985,d_midd,0
N2 Fert,6,1985-07-11,1985,d_prib,NA
N2 Fert,6,1985-07-11,1985,heter,0
N2 Fert,6,1985-07-11,1985,holo,NA
N2 Fert,6,1985-07-11,1985,p_ped,27.375
N2 Fert,6,1985-07-18,1985,bosmina,0.23
N2 Fert,6,1985-07-18,1985,c_scutt,5.585
N2 Fert,6,1985-07-18,1985,d_long,8.645
N2 Fert,6,1985-07-18,1985,d_midd,0
N2 Fert,6,1985-07-18,1985,d_prib,NA
N2 Fert,6,1985-07-18,1985,heter,0
N2 Fert,6,1985-07-18,1985,holo,NA
N2 Fert,6,1985-07-18,1985,p_ped,17.225
N2 Fert,6,1985-07-25,1985,bosmina,1.28
N2 Fert,6,1985-07-25,1985,c_scutt,2.61
N2 Fert,6,1985-07-25,1985,d_long,6.550000000000001
N2 Fert,6,1985-07-25,1985,d_midd,0
N2 Fert,6,1985-07-25,1985,d_prib,NA
