site,tow_type,depth_m,date,d_midd,d_long,bosmina,holo,heter,d_prib,c_scutt,p_ped,year
N2 Fert,vt,6,1985-07-08,0,13.11,2.17,NA,0,NA,4.81,15.85,1985
N2 Fert,vt,6,1985-07-08,0,0.86,0.19,NA,0,NA,5.71,15.98,1985
N2 Cont,vt,6,1985-07-08,0.07,3.31,4.33,NA,0,NA,7.3,17.44,1985
N2 Cont,vt,6,1985-07-08,0,2.36,1.89,NA,0,NA,5.66,14.14,1985
N2 Fert,vt,6,1985-07-11,0,6.22,2.04,NA,0,NA,1.13,23.6,1985
N2 Fert,vt,6,1985-07-11,0,6.38,0.74,NA,0,NA,4.66,31.15,1985
N2 Cont,vt,6,1985-07-11,0,1.41,0.55,NA,0,NA,3.95,14.43,1985
N2 Cont,vt,6,1985-07-11,0,0.99,0.55,NA,0,NA,7.1,11.88,1985
N2 Fert,vt,6,1985-07-18,0,6.59,0.26,NA,0,NA,7.64,20.75,1985
N2 Fert,vt,6,1985-07-18,0,10.7,0.2,NA,0,NA,3.53,13.7,1985
N2 Cont,vt,6,1985-07-18,0,3.32,0.41,NA,0,NA,1.22,7.85,1985
N2 Cont,vt,6,1985-07-18,0,6.57,2,NA,0,NA,2.51,12.76,1985
N2 Fert,vt,6,1985-07-25,0,5.48,1.07,NA,0,NA,3.81,11.42,1985
N2 Fert,vt,6,1985-07-25,0,7.62,1.49,NA,0,NA,1.41,17.45,1985
N2 Cont,vt,6,1985-07-25,0,5.31,1.16,NA,0,NA,1.85,9.94,1985
N2 Cont,vt,6,1985-07-25,0,11.48,3.95,NA,0,NA,1.1,8.99,1985
N2 Fert,vt,6,1985-08-01,0,34.77,2.38,NA,0,NA,6.09,11.75,1985
N2 Fert,vt,6,1985-08-01,0,29.14,1.08,NA,0,NA,6.72,14.53,1985
N2 Cont,vt,6,1985-08-01,0,14.69,0.52,NA,0,NA,0.77,17.01,1985
N2 Cont,vt,6,1985-08-01,0,13.34,1.11,NA,0,NA,1.19,32.86,1985
N2 Fert,vt,6,1985-08-08,0,17.01,6.12,NA,0,NA,2.51,12.57,1985
N2 Fert,vt,6,1985-08-08,0,16.6,6.36,NA,0,NA,2.91,12.66,1985
N2 Cont,vt,6,1985-08-08,0,16.62,4.46,NA,0,NA,1.7,5.94,1985
N2 Cont,vt,6,1985-08-08,0,14.39,3.8,NA,0,NA,1.03,5.6,1985
Toolik,vt,4,1985-07-03,0.1,0.29,0,NA,0,NA,0.19,37.05,1985
Toolik,vt,4,1985-07-03,0,0.11,0,NA,0.01,NA,0.44,22.83,1985
Toolik,vt,4,1985-07-06,0.07,0.83,0.63,NA,0.29,NA,2.92,4.8,1985
Toolik,vt,4,1985-07-06,0.08,0.54,0.62,NA,0.35,NA,11.2,12.6,1985
Toolik,vt,4,1985-07-10,0.71,0.51,0,NA,0.17,NA,11.86,2.12,1985
Toolik,vt,4,1985-07-10,0.17,0.26,0,NA,0.26,NA,8.9,2.62,1985
Toolik,vt,4,1985-07-13,0.18,1,0.27,NA,0.06,NA,3.99,3.82,1985
Toolik,vt,4,1985-07-13,0.12,0.37,1.23,NA,0.15,NA,4.05,1.47,1985
Toolik,vt,4,1985-07-17,0,0,0,NA,0.08,NA,8.15,1.81,1985
Toolik,vt,4,1985-07-17,0.08,0.33,0,NA,0.11,NA,4.27,0.75,1985
Toolik,vt,4,1985-07-20,0.1,0.5,0.2,NA,0.1,NA,8.92,0.59,1985
Toolik,vt,4,1985-07-20,0,0.08,0.08,NA,0.02,NA,6.97,0.96,1985
Toolik,vt,4,1985-07-24,0,0,0.29,NA,0.18,NA,3.77,2.03,1985
Toolik,vt,4,1985-07-24,0,0.09,0,NA,0.06,NA,7.33,1.31,1985
Toolik,vt,4,1985-07-27,0,0,0,NA,0.13,NA,5.87,0.29,1985
Toolik,vt,4,1985-07-27,0,0,0,NA,0.17,NA,15.93,1.12,1985
Toolik,vt,4,1985-07-31,0.08,0.08,0,NA,0.09,NA,3.52,0.25,1985
Toolik,vt,4,1985-07-31,0,0,0.1,NA,0.1,NA,3.81,0.88,1985
Toolik,vt,4,1985-08-03,0.08,0,0.24,NA,0.07,NA,3.84,0.72,1985
Toolik,vt,4,1985-08-03,0,0,0,NA,0.08,NA,6.17,0.59,1985
Toolik,vt,4,1985-08-07,0,0.28,0,NA,0.07,NA,3.68,0.28,1985
Toolik,vt,4,1985-08-07,0,0,0,NA,0.08,NA,2.44,0,1985
Toolik,vt,4,1985-08-10,0.2,0.1,0.1,NA,0.03,NA,3.35,0.61,1985
Toolik,vt,4,1985-08-10,0,0,0,NA,0.06,NA,1.03,0.69,1985
Toolik,vt,4,1985-08-13,0,0,0,NA,0.06,NA,7.25,1.58,1985
Toolik,vt,4,1985-08-13,0.06,0.06,0,NA,0.04,NA,15.26,3.31,1985
